Date,Country,MV_KRW,PnL_KRW,Country_Ret_KRW
2025-08-08,HK,5982416299.355316,-88232936.62986766,-0.01453434932574368
2025-08-08,JP,0.0,0.0,
2025-08-09,US,10093590513.01587,0.0,0.0
2025-08-09,HK,5982416299.355316,0.0,0.0
2025-08-09,JP,0.0,0.0,
2025-08-11,US,11895499700.468506,-46123450.95434567,-0.004560226752410038
2025-08-11,HK,5965294092.132568,-29233317.866515994,-0.004876667644851163
2025-08-11,JP,0.0,0.0,
2025-08-12,US,12027137651.961914,114671437.14404261,0.009626167209188715
2025-08-12,HK,5899676883.735275,-74090042.21382168,-0.012402566610355398
2025-08-12,JP,0.0,0.0,
2025-08-13,US,11982105044.103565,12949318.113989629,0.001081890687232999
2025-08-13,HK,6089966061.557007,217941849.9732974,0.037115284631041655
2025-08-13,JP,0.0,0.0,
2025-08-14,US,11918116388.72495,-26638719.556030035,-0.0022301581889219955
2025-08-14,HK,6003682986.07254,-67023289.8109438,-0.011040443527502036
2025-08-14,JP,0.0,0.0,
2025-08-15,US,12066486345.668615,69784879.09448221,0.005817011276940738
2025-08-15,HK,6003349453.353882,-51195986.63330072,-0.008455793608414822
2025-08-15,JP,0.0,0.0,
2025-08-16,US,12066486345.668615,0.0,0.0
2025-08-16,HK,6003349453.353882,0.0,0.0
2025-08-16,JP,0.0,0.0,
2025-08-18,US,11939323150.355324,-128128873.53300793,-0.010617732185081498
2025-08-18,HK,5964906696.762085,-45992435.394287206,-0.007651506768470377
2025-08-18,JP,0.0,0.0,
2025-08-19,US,11064926915.193459,-159814614.07554924,-0.013395893780682238
2025-08-19,HK,5881046013.950348,-83065308.55178826,-0.013927524833144744
2025-08-19,JP,0.0,0.0,
2025-08-20,US,11153335401.170921,53075445.67614751,0.004781455628161967
2025-08-20,HK,6004422577.930069,88873076.68762216,0.01502363840737975
2025-08-20,JP,0.0,0.0,
2025-08-21,US,11176657906.113209,-21333330.6599852,-0.001905104161736566
2025-08-21,HK,5899573720.003128,-119124877.33459468,-0.019792464335610313
2025-08-21,JP,0.0,0.0,
2025-08-22,US,12297827373.31189,239014336.37945527,0.02134388133302865
2025-08-22,HK,5997172009.611511,87556787.62550351,0.014815987900491236
2025-08-22,JP,0.0,0.0,
2025-08-23,US,12297827373.31189,0.0,0.0
2025-08-23,HK,5997172009.611511,0.0,0.0
2025-08-23,JP,0.0,0.0,
2025-08-25,US,14455655771.547363,-125124026.8143922,-0.010297497890597227
2025-08-25,HK,6120358856.632233,196088759.25979608,0.033099226746391326
2025-08-25,JP,0.0,0.0,
2025-08-26,US,14569933345.00979,49883009.733496025,0.0034354576392028225
2025-08-26,HK,6097726636.5234375,-52007647.30911263,-0.008456893405271025
2025-08-26,JP,0.0,0.0,
2025-08-27,US,14696635833.85232,75316231.02177738,0.005151120708724992
